stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Coding\i2p2\blooooom\SourceCode\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.04935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04936] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04937] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04938] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04939] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04939] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04940] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04941] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04942] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04945] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04946] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04950] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04951] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04952] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04953] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04954] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04955] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04956] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04957] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04957] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04959] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04960] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04961] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04963] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04964] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04965] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04966] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04967] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04968] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04970] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04970] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04971] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04972] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04973] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04974] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04975] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04976] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04976] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04977] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04978] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04979] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04980] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04981] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04982] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04983] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04984] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04985] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04986] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04987] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04988] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04988] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04990] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04991] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04992] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04993] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04994] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04994] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04995] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04996] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04997] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04998] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04999] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04999] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05000] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05001] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05002] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05003] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.05006] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.05034] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.05038] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.11514] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.16326] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.16330] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.16333] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.16338] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.16340] Returning d3d_display: 000000000154a620
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.16340] al_display=000000000154a620
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.16341] al_display->vt=000000000154a4b0
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.16359] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.16361] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.16393] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.16395] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.16398] added dtor for timer 0000000002cb8a30, func 00007ff836f1fb3b
dtor     D               dtor.c:196  _al_register_destructor          [   0.16399] added dtor for queue 0000000002c13380, func 00007ff836f0c5dc
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.16444] opening ./assets/image/game_icon.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.16457] opening ./assets/image/game_icon.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16466] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16467] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16468] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16469] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16470] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16471] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16472] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16473] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16474] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.16475] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.16476] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.16477] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.16478] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.16511] added dtor for bitmap 0000000002cc4040, func 00007ff836ee1bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16949] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16953] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16954] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16955] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16955] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16956] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16957] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16958] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16959] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.16960] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.16961] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.16961] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.16962] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.16997] added dtor for bitmap 0000000002cc0120, func 00007ff836ee1bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17414] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17419] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.17854] removed dtor for bitmap 0000000002cc0120
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18136] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18142] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18143] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18144] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18145] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18146] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18147] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18148] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18149] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.18150] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.18151] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.18152] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.18153] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.18186] added dtor for bitmap 0000000002cc0120, func 00007ff836ee1bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19073] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19079] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.19480] removed dtor for bitmap 0000000002cc0120
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.19786] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.19801] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.19804] added dtor for voice 0000000002cb54d0, func 00007ff837015024
dtor     D               dtor.c:196  _al_register_destructor          [   0.19807] added dtor for mixer 0000000002cc0120, func 00007ff8370104dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.19809] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.19810] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.20005] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.20009] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.20014] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.20016] added dtor for sample_instance 0000000002cc3c30, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20018] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20018] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20019] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20020] added dtor for sample_instance 0000000002cc3d50, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20021] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20022] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20023] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20024] added dtor for sample_instance 0000000002cc3e70, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20025] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20025] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20026] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20027] added dtor for sample_instance 0000000002cc0720, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20032] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20035] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20036] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20037] added dtor for sample_instance 0000000002cc0840, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20038] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20039] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20039] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20040] added dtor for sample_instance 0000000002cc0960, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20041] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20042] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20043] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20044] added dtor for sample_instance 0000000002cc0a80, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20045] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20046] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20046] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20047] added dtor for sample_instance 0000000002ccd4e0, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20048] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20049] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20049] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20050] added dtor for sample_instance 0000000002ccd600, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20051] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20052] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20053] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20054] added dtor for sample_instance 0000000002ccd720, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20055] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20055] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20056] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20057] added dtor for sample_instance 0000000002ccd840, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20058] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20059] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20060] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20060] added dtor for sample_instance 0000000002ccd960, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20061] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20062] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20063] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20064] added dtor for sample_instance 0000000002ccda80, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20064] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20065] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20066] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20067] added dtor for sample_instance 0000000002ccdd10, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20068] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20069] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20069] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20070] added dtor for sample_instance 0000000002cce970, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20071] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20072] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20073] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.20073] added dtor for sample_instance 0000000002cce850, func 00007ff83700929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.20074] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20075] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.20076] 
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20077] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20097] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20098]     ascent=12.0, descent=-4.0, height=15.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20099] added dtor for ttf_font 0000000002cb6770, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20100] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20114] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20116]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20117] added dtor for ttf_font 0000000002cb6f20, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20118] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20128] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20129]     ascent=24.0, descent=-7.0, height=30.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20130] added dtor for ttf_font 0000000002cb67a0, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20131] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20142] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20143]     ascent=20.0, descent=-8.0, height=27.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20144] added dtor for ttf_font 0000000002cb6a70, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20145] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20154] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 44.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20155]     ascent=44.0, descent=-13.0, height=56.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20156] added dtor for ttf_font 0000000002cb6aa0, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20157] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.20167] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 44.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.20168]     ascent=37.0, descent=-14.0, height=50.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.20169] added dtor for ttf_font 0000000002cb6800, func 00007ff837004c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20170] opening ./assets/image/love.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20177] opening ./assets/image/love.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20183] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20184] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20185] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20186] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20186] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20187] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20188] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20189] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20189] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.20190] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.20191] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.20192] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.20193] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20242] added dtor for bitmap 00000000172755c0, func 00007ff836ee1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20258] opening ./assets/image/tower/Arcane_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20267] opening ./assets/image/tower/Arcane_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20272] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20273] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20274] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20275] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20276] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20276] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20277] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20278] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.20279] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.20280] Alpha doesn't match
